"team","year","player_name","player_slug","high_school","hometown","status","distance_miles"
"Arizona",2016,"Keanu Pinder","keanu-pinder-71660","Sunrise Christian Academy","Wichita, KS","Enrolled",857.023232912167
"Arizona State",2016,"Sam Cunliffe","sam-cunliffe-104252","Rainier Beach","Seattle, WA","Enrolled",1119.69484400478
"Baylor",2016,"Tyson Jolly","tyson-jolly-141313","Putnam City West","Oklahoma City, OK","Committed",271.714868748918
"BYU",2016,"Gavin Baxter","gavin-baxter-45349","Timpview","Provo, UT","Enrolled",1.37762800165695
"Colorado",2016,"Lucas Siewert","lucas-siewert-80387","Cathedral","Los Angeles, CA","Enrolled",824.465483411964
"Colorado",2016,"Deleon Brown","deleon-brown-33545","Brewster Academy","Grand Rapids, MI","Enrolled",1032.85185847232
"Houston",2016,"Armoni Brooks","armoni-brooks-7576","McNeil","Austin, TX","Enrolled",149.04480580679
"Iowa State",2016,"Solomon Young","solomon-young-107859","Sacramento","Sacramento, CA","Enrolled",1479.79926118181
"Kansas",2016,"Josh Jackson","josh-jackson-137061","Justin-Siena","Detroit, MI","Enrolled",680.578934902725
"Kansas",2016,"Udoka Azubuike","udoka-azubuike-119149","The Potter's House Christian Academy","Jacksonville, FL","Enrolled",974.114396356885
"Kansas",2016,"Mitch Lightfoot","mitch-lightfoot-89876","Gilbert Christian","Tucson, AZ","Enrolled",996.007892423064
"Kansas State",2016,"James Love","james-love-55696","American Heritage","Fort Lauderdale, FL","Enrolled",1310.41452703327
"Kansas State",2016,"Brian Patrick","brian-patrick-14695","Boyd Anderson","Fort Lauderdale, FL","Enrolled",1310.41452703327
"Oklahoma State",2016,"Lindy Waters","lindy-waters-79514","Brewster Academy","Norman, OK","Enrolled",65.9793522759993
"Oklahoma State",2016,"Brandon Averette","brandon-averette-12132","Richardson","Richardson, TX","Enrolled",220.489540588767
"Oklahoma State",2016,"Thomas Dziagwa","thomas-dziagwa-112297","Tampa Catholic","Tampa, FL","Enrolled",1023.62471846059
"TCU",2016,"Josh Parrish","josh-parrish-67443","Seguin","Arlington, TX","Enrolled",14.9922894224591
"Texas Tech",2016,"Shadell Millinghaus","shadell-millinghaus-106176","Evelyn Mack Academy","Brooklyn, NY","Enrolled",1606.41881616524
"Utah",2016,"Tyler Rawson","tyler-rawson-117991",NA,"Salt Lake City, UT","Enrolled",2.5814044961542
"Utah",2016,"Chris Seeley","chris-seeley-22441","Central East","Fresno, CA","Enrolled",510.287636621425
"Arizona",2017,"Deandre Ayton","deandre-ayton-32934","Hillcrest Prep","Phoenix, AZ","Enrolled",106.380123785223
"Arizona",2017,"Brandon Randolph","brandon-randolph-12980","Westtown School","Yonkers, NY","Enrolled",2124.18006570454
"Arizona",2017,"Alex Barcello","alex-barcello-2807","Corona Del Sol","Tempe, AZ","Enrolled",100.491773894319
"Arizona State",2017,"Rob Edwards","rob-edwards-100729","Cass Technical","Detroit, MI","Enrolled",1680.99540306399
"BYU",2017,"Kolby Lee","kolby-lee-75734","Rocky Mountain","Meridian, ID","Enrolled",336.541001711592
"BYU",2017,"Jahshire Hardnett","jahshire-hardnett-53062","Gulfport","Gulfport, MS","Signed",1437.55226451595
"BYU",2017,"Rylan Bergersen","rylan-bergersen-103973","Borah Senior","Boise, ID","Signed",329.68767149384
"Cincinnati",2017,"Keith Williams","keith-williams-72237","Bishop Loughlin Memorial","Brooklyn, NY","Enrolled",569.437815850364
"Cincinnati",2017,"Mamoudou Diarra","mamoudou-diarra-82119","22 Feet Academy ","Greenville, SC","Enrolled",317.973747873032
"Colorado",2017,"D'Shawn Schwartz","dshawn-schwartz-27452","Sand Creek","Colorado Springs, CO","Enrolled",84.4790629652279
"Colorado",2017,"Tyler Bey","tyler-bey-117355","Middlebrooks Academy","Los Angeles, CA","Enrolled",824.465483411964
"Houston",2017,"Cedrick Alley Jr.","cedrick-alley-jr-19417","Klein Forest","Houston, TX","Enrolled",3.41307145619784
